t,T,ER,PR,Ki67,PI3K,ESR1m
0.000000000000000000e+00,3.456867478480475930e-01,2.818874384539300504e-01,2.867560045801584856e-01,1.818243311528983386e-01,2.076181079385273909e-01,2.036739141141764853e-01
1.000000000000000000e+00,2.465553760136714179e-01,1.849174835873665657e-01,1.901229377638432028e-01,1.793598647653275313e-01,1.168508640841419977e-01,1.182774717532278502e-01
2.000000000000000000e+00,1.551437272288311020e-01,1.390331267875878352e-01,1.230826793940561492e-01,1.940068044317380114e-01,1.045518496990303636e-01,1.250387803411389387e-01
3.000000000000000000e+00,2.392164401168049848e-01,2.074520409231206397e-01,1.004002087849634600e-01,1.559048494844406663e-01,6.367004756854981184e-02,1.698884056423916322e-01
4.000000000000000000e+00,1.425523260387104585e-01,1.164222327487706016e-01,4.939970269812235526e-02,1.893362971412184403e-01,2.637488213329601192e-02,1.416793701930079141e-01
5.000000000000000000e+00,2.119626341287310367e-01,8.329813154167983735e-02,1.972584281799621975e-02,1.720307411549426013e-01,9.359646685130793356e-03,2.342223376209612018e-01
6.000000000000000000e+00,1.186963314129206998e-01,3.757376101323831041e-02,6.542059997623458044e-03,2.025670709976551409e-01,2.973312254734902967e-03,1.343727293440652448e-01
7.000000000000000000e+00,7.388049001722428455e-02,1.435091706446915520e-02,1.776614885879575136e-03,1.807859684022258551e-01,8.386947369638738953e-04,2.222940371286852845e-01
8.000000000000000000e+00,3.213686425568178934e-02,4.665167381599737498e-03,3.845623936092414140e-04,1.967520916988750868e-01,2.025788879861463085e-04,1.242284523574727906e-01
9.000000000000000000e+00,1.166490856945553121e-02,1.273375723725054262e-03,6.323101035618015182e-05,1.969224641903576378e-01,3.767560753623789850e-05,1.646028171928017314e-01
1.000000000000000000e+01,3.329712446343299423e-03,2.553052372907272109e-04,6.979740782497355917e-06,2.026683756626502797e-01,5.291171431901681469e-06,1.588256629215206162e-01
1.100000000000000000e+01,7.484666783142261172e-04,2.775018358070817462e-05,0.000000000000000000e+00,2.081869522839391584e-01,0.000000000000000000e+00,1.809994192618097353e-01
1.200000000000000000e+01,1.430020924438582162e-04,1.626754895109036858e-06,0.000000000000000000e+00,2.141817759982813929e-01,0.000000000000000000e+00,1.095065732053730756e-01
1.300000000000000000e+01,1.308039363947365114e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.194609568532060462e-01,0.000000000000000000e+00,7.974004497775868949e-02
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228624463630513031e-01,0.000000000000000000e+00,3.647600890263341666e-02
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.240785470063990648e-01,0.000000000000000000e+00,1.459835579766008418e-02
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.242243245172088895e-01,0.000000000000000000e+00,5.115724982376137348e-03
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.237856566801223190e-01,0.000000000000000000e+00,1.577518693814849732e-03
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.230776682662873045e-01,0.000000000000000000e+00,4.238590968010638098e-04
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.223636354204321930e-01,0.000000000000000000e+00,9.672831496264218908e-05
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.216830011590274485e-01,0.000000000000000000e+00,2.028452355292086650e-05
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.209618029729375766e-01,0.000000000000000000e+00,1.624041067520814336e-06
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.201885144768842562e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.193379698485649898e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.183512280259534144e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.172670983189154970e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.162349282151554697e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.153199395539133199e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.145309259697837090e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.138778553100640356e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.134858392419263506e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.132828751582717119e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.132136645718993029e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.133257969859412850e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.136655223256866964e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.141785674108799276e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.147812744821177289e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.154927367104474967e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.162414037561245506e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.170118681650654857e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.177426030274616786e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.184330022084963741e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.190654663991580819e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195860838304596330e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200149306035330543e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203811023099243593e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.206656270694929423e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.208710535304993228e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.210272147428747336e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.211125180903801002e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.211322670467415763e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.210846804370479035e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.210178238517611082e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.209573944299744463e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.208965390540520990e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.208136151518752810e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.207102976487757273e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.205959646838308308e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.204576087878633572e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203109048870589004e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.201480225193002960e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.199692807076208123e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.197799452257701847e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195771266560425095e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.193690366047663654e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.191745699626830024e-01,0.000000000000000000e+00,0.000000000000000000e+00
